CharacterNameJp,TeamJp,CharacterOrder,LabelName,LabelSkill,SkillNameJp,InfoJp,HitCount,TargetType,Sp,EffectLabel,MaxSkillLevel,LabelSkillPart,SkillType,Power,MaxPower,RefParamDiffForMax,VsDpRate,VsHpRate,DamageRateRate,ElementList,BuffLimitType,BuffCategory,RefParamPower,RefParamWisdom,RefParamDexterity,RefParamSpirit,RefParamLuck,RefParamToughness,PowerRate,MaxPowerRate,AbilityLabel,AbilityPowerRate,AbilityMaxPowerRate,RefParamDiffForMaxPlus,Value1,Value2,SkillNamezhTW,InfozhTW,CharacterNamezhTW,TeamzhTW,CardNameJp,CardNamezhTW,LimitBreak,Generalize,SkillGrowthAbility
伊達 朱里,31D,55.0,ADate,ADateSkill52,哀のスノードロップ,聖夜を彩るプレゼントが 氷晶を纏いて敵に炸裂 [対DP+50%]このスキルでブレイクしたとき オーバードライブゲージを150%上昇,2,Self,14,,10,ADateSkill52_2,OverDrivePointUp,1.5,0.0,0,0.0,0.0,0.0,,None,None,0,0,0,0,0,0,0.0,0.0,None,0.0,0.0,0,0.0,0.0,哀傷的雪花蓮,點綴聖誕夜的禮物在冰晶的籠罩下炸裂敵人[對DP+50%]以此技能BREAK敵人時，OVERDRIVE量表會提升150%,伊達 朱里,31D,Holiday Star Night,Holiday Star Night,4.0,0.0,AttackUp
伊達 朱里,31D,55.0,ADate,ADateSkill91,追撃,敵に追撃する,2,Single,0,,10,ADateSkill91,AttackNormal,258.0,1290.0,114,1.0,1.0,0.75,['Strike'],None,None,1,0,1,0,0,0,0.0,0.0,None,0.0,0.0,0,0.0,0.0,追擊,深入追擊敵人,伊達 朱里,31D,,,,,
神崎 アーデルハイド,31C,35.0,AKanzaki,AKanzakiAttackNormal,通常攻撃,,3,Single,0,,10,AKanzakiAttackNormal,AttackNormal,95.0,475.0,100,1.0,1.0,1.0,['Slash'],None,None,1,0,1,0,0,0,0.0,0.0,None,0.0,0.0,0,0.0,0.0,普通攻擊,,神崎 阿黛爾海德,31C,,,,,
神崎 アーデルハイド,31C,35.0,AKanzaki,AKanzakiSkill01,旋風,風圧で全体を斬り刻む[破壊率大],3,All,6,,10,AKanzakiSkill01,AttackSkill,474.0,2370.0,123,1.0,1.0,4.8,['Slash'],None,None,1,0,1,0,0,0,0.05,0.02,AttackUp,0.02,0.02,20,0.0,0.0,旋風,用風壓襲擊全體敵人[破壞率大],神崎 阿黛爾海德,31C,碧落の忍び,碧落的忍者,20.0,1.0,
神崎 アーデルハイド,31C,35.0,AKanzaki,AKanzakiSkill02,一片氷心,氷の力を宿した鋭利な斬撃で 敵を斬り刻む [破壊率大],4,Single,8,,10,AKanzakiSkill02,AttackSkill,918.0,4590.0,129,1.0,1.0,8.0,"['Ice', 'Slash']",None,None,1,0,1,0,0,0,0.05,0.02,AttackUp,0.02,0.02,20,0.0,0.0,一片冰心,用寄宿著冰霜之力的銳利斬擊狂砍敵人[破壞率大],神崎 阿黛爾海德,31C,ごちゃまぜ忍法大乱闘,東拼西湊忍法大亂鬥,4.0,1.0,AttackUp
神崎 アーデルハイド,31C,35.0,AKanzaki,AKanzakiSkill03,心意活性,内なる力を解き放ち 次の攻撃の連撃数(大ダメージ)を2〜3回上げる,1,Self,5,FunnelUp,10,AKanzakiSkill03,Funnel,2.0,3.0,129,1.0,1.0,1.0,,Default,Funnel_Count,0,1,0,0,0,0,0.03,0.02,None,0.0,0.0,0,0.4,0.0,心意活性,解放內在的力量，增加下次攻擊的連擊數（傷害值大）2～3次,神崎 阿黛爾海德,31C,微光の兆し,微光的預兆,10.0,1.0,AttackUp
神崎 アーデルハイド,31C,35.0,AKanzaki,AKanzakiSkill04,淡雪,神経を研ぎ澄まし自身の氷属性スキル攻撃力を上げる,1,Self,4,IceBuff_Up,10,AKanzakiSkill04,AttackUp,0.65,0.8,192,1.0,1.0,0.0,['Ice'],Default,AttackUpIce_Count,0,1,0,0,0,0,0.03,0.02,BuffUp,0.04,0.04,60,0.0,0.0,淡雪,集中精神，提升自己的冰屬性技能攻擊力,神崎 阿黛爾海德,31C,氷花のHexerei,雪花的Hexerei,4.0,1.0,AttackUp
神崎 アーデルハイド,31C,35.0,AKanzaki,AKanzakiSkill05,寝ても醒めても,闇の力を宿した鋭利な斬撃で 全体を斬り刻む [破壊率大],3,All,9,,10,AKanzakiSkill05,AttackSkill,879.0,4395.0,132,1.0,1.0,7.2,"['Dark', 'Slash']",None,None,1,0,1,0,0,0,0.05,0.02,AttackUp,0.02,0.02,20,0.0,0.0,日日夜夜,用寄宿著黑暗之力的銳利斬擊狂砍全體敵人[破壞率大],神崎 阿黛爾海德,31C,少女の休息,少女的休息時間,4.0,1.0,AttackUp
神崎 アーデルハイド,31C,35.0,AKanzaki,AKanzakiSkill51,滅殺影分身,忍術の力で影分身し 全体を斬りつける [破壊率大]さらに 確率で混乱させる,6,All,14,,13,AKanzakiSkill51,AttackSkill,1914.0,9570.0,147,1.0,1.0,11.2,['Slash'],None,None,1,0,1,0,0,0,0.05,0.02,AttackUp,0.02,0.02,20,0.0,0.0,滅殺影分身,用忍術之力使出影分身，砍向全體敵人[破壞率大]還有，有一定機率讓敵人混亂,神崎 阿黛爾海德,31C,ごちゃまぜ忍法大乱闘,東拼西湊忍法大亂鬥,4.0,1.0,AttackUp
神崎 アーデルハイド,31C,35.0,AKanzaki,AKanzakiSkill51,滅殺影分身,忍術の力で影分身し 全体を斬りつける [破壊率大]さらに 確率で混乱させる,6,All,14,,13,AKanzakiSkill51_2,ConfusionRandom,0.3,0.85,147,0.0,0.0,0.0,,None,None,0,1,0,0,2,0,0.0,0.0,DebuffUp,0.02,0.02,20,0.0,0.0,滅殺影分身,用忍術之力使出影分身，砍向全體敵人[破壞率大]還有，有一定機率讓敵人混亂,神崎 阿黛爾海德,31C,ごちゃまぜ忍法大乱闘,東拼西湊忍法大亂鬥,4.0,1.0,AttackUp
神崎 アーデルハイド,31C,35.0,AKanzaki,AKanzakiSkill52,神崎流忍術・氷塵,敵を凍てつかせて強攻撃を封じ 薙ぎ払う [破壊率大]敵の弱点をついたとき 威力上昇かつ [破壊率特大],6,Single,14,,10,AKanzakiSkill52,DamageRateChangeAttackSkill,2178.0,10890.0,144,1.0,1.0,13.0,"['Ice', 'Slash']",None,None,1,0,1,0,0,0,0.05,0.02,AttackUp,0.02,0.02,20,21.75,1.2272727,神崎流忍術‧冰塵,凍結敵人以封印強力攻擊並加以掃蕩[破壞率大]命中敵人的弱點時，威力上升且[破壞率特大],神崎 阿黛爾海德,31C,氷花のHexerei,雪花的Hexerei,4.0,0.0,AttackUp
神崎 アーデルハイド,31C,35.0,AKanzaki,AKanzakiSkill52,神崎流忍術・氷塵,敵を凍てつかせて強攻撃を封じ 薙ぎ払う [破壊率大]敵の弱点をついたとき 威力上昇かつ [破壊率特大],6,Single,14,,10,AKanzakiSkill52_2,ImprisonRandom,0.45,0.9,144,0.0,0.0,0.0,,None,None,0,1,0,0,2,0,0.0,0.0,DebuffUp,0.02,0.02,20,0.0,0.0,神崎流忍術‧冰塵,凍結敵人以封印強力攻擊並加以掃蕩[破壞率大]命中敵人的弱點時，威力上升且[破壞率特大],神崎 阿黛爾海德,31C,氷花のHexerei,雪花的Hexerei,4.0,0.0,AttackUp
神崎 アーデルハイド,31C,35.0,AKanzaki,AKanzakiSkill53,神崎流忍術・散華,自身の闇属性スキル攻撃力を上げ 闇の斬撃を放つ [破壊率大]敵の弱点をついたとき 威力上昇かつ [破壊率特大],4,Single,15,,10,AKanzakiSkill53,DamageRateChangeAttackSkill,2502.0,12510.0,147,1.0,1.0,14.0,"['Dark', 'Slash']",None,None,1,0,1,0,0,0,0.05,0.02,AttackUp,0.02,0.02,20,23.25,1.2122302,神崎流忍術‧散華,提升自己的闇屬性技能攻擊力，發動黑暗斬擊[破壞率大]命中敵人的弱點時，威力上升且[破壞率特大],神崎 阿黛爾海德,31C,少女の休息,少女的休息時間,4.0,0.0,AttackUp
神崎 アーデルハイド,31C,35.0,AKanzaki,AKanzakiSkill53,神崎流忍術・散華,自身の闇属性スキル攻撃力を上げ 闇の斬撃を放つ [破壊率大]敵の弱点をついたとき 威力上昇かつ [破壊率特大],4,Self,15,,10,AKanzakiSkill53_2,AttackUp,0.65,0.8,147,1.0,1.0,0.0,['Dark'],Default,AttackUpDark_Count,0,1,0,0,0,0,0.03,0.02,BuffUp,0.04,0.04,60,0.0,0.0,神崎流忍術‧散華,提升自己的闇屬性技能攻擊力，發動黑暗斬擊[破壞率大]命中敵人的弱點時，威力上升且[破壞率特大],神崎 阿黛爾海德,31C,少女の休息,少女的休息時間,4.0,0.0,AttackUp
神崎 アーデルハイド,31C,35.0,AKanzaki,AKanzakiSkill91,追撃,敵に追撃する,4,Single,0,,10,AKanzakiSkill91,AttackNormal,258.0,1290.0,114,1.0,1.0,0.75,['Slash'],None,None,1,0,1,0,0,0,0.0,0.0,None,0.0,0.0,0,0.0,0.0,追擊,深入追擊敵人,神崎 阿黛爾海德,31C,,,,,
瑞原 あいな,31D,56.0,AMizuhara,AMizuharaAttackNormal,通常攻撃,,1,Single,0,,10,AMizuharaAttackNormal,AttackNormal,95.0,475.0,100,1.0,1.0,1.0,['Strike'],None,None,1,0,1,0,0,0,0.0,0.0,None,0.0,0.0,0,0.0,0.0,普通攻擊,,瑞原 藍娜,31D,,,,,
瑞原 あいな,31D,56.0,AMizuhara,AMizuharaSkill01,ラブカ・ブレード,大剣を振り回し 全体を薙ぎ払うさらに 防御力を下げる,1,All,6,DefaultDebuff,10,AMizuharaSkill01,AttackSkill,474.0,2370.0,123,1.0,1.0,1.2,['Strike'],None,None,1,0,1,0,0,0,0.05,0.02,AttackUp,0.02,0.02,20,0.0,0.0,皺鰓鯊硬刃,揮動大劍掃蕩全體敵人並降低敵人的防禦力,瑞原 藍娜,31D,深き海の学び手,深海的學習者,20.0,1.0,
瑞原 あいな,31D,56.0,AMizuhara,AMizuharaSkill01,ラブカ・ブレード,大剣を振り回し 全体を薙ぎ払うさらに 防御力を下げる,1,All,6,DefaultDebuff,10,AMizuharaSkill01_2,DefenseDown,0.2,0.3,123,1.0,1.0,0.0,,Default,DefenseDown_Turn,0,2,0,0,1,0,0.0,0.0,DebuffUp,0.02,0.02,20,0.0,0.0,皺鰓鯊硬刃,揮動大劍掃蕩全體敵人並降低敵人的防禦力,瑞原 藍娜,31D,深き海の学び手,深海的學習者,20.0,1.0,
瑞原 あいな,31D,56.0,AMizuhara,AMizuharaSkill02,ディープブロー,振り上げた力で 敵を強打さらに 脆弱状態にする,2,Single,5,,10,AMizuharaSkill02,AttackSkill,450.0,2250.0,120,1.0,1.0,1.25,['Strike'],None,None,1,0,1,0,0,0,0.05,0.02,AttackUp,0.02,0.02,20,0.0,0.0,深層吐息,利用高舉揮下的力量強烈打擊敵人還有，使敵人陷入脆弱狀態,瑞原 藍娜,31D,アビスからの誘い,來自深淵的邀請,10.0,1.0,DebuffUp
瑞原 あいな,31D,56.0,AMizuhara,AMizuharaSkill02,ディープブロー,振り上げた力で 敵を強打さらに 脆弱状態にする,2,Single,5,,10,AMizuharaSkill02_2,Fragile,0.35,0.5,120,0.0,0.0,0.0,,Default,Fragile_Turn,0,1,0,0,2,0,0.0,0.0,DebuffUp,0.02,0.02,20,0.0,0.0,深層吐息,利用高舉揮下的力量強烈打擊敵人還有，使敵人陷入脆弱狀態,瑞原 藍娜,31D,アビスからの誘い,來自深淵的邀請,10.0,1.0,DebuffUp
瑞原 あいな,31D,56.0,AMizuhara,AMizuharaSkill03,大海原,渾身の力で大剣を振り 全体を攻撃さらに 脆弱状態にする,1,All,8,,10,AMizuharaSkill03,AttackSkill,726.0,3630.0,129,1.0,1.0,1.6,['Strike'],None,None,1,0,1,0,0,0,0.05,0.02,AttackUp,0.02,0.02,20,0.0,0.0,浩瀚大海,使盡全身的力量揮舞大劍來攻擊全體敵人並使敵人陷入脆弱狀態,瑞原 藍娜,31D,ロックアップオルカ,禁錮虎鯨,4.0,1.0,DebuffUp
瑞原 あいな,31D,56.0,AMizuhara,AMizuharaSkill03,大海原,渾身の力で大剣を振り 全体を攻撃さらに 脆弱状態にする,1,All,8,,10,AMizuharaSkill03_2,Fragile,0.35,0.5,129,0.0,0.0,0.0,,Default,Fragile_Turn,0,1,0,0,2,0,0.0,0.0,DebuffUp,0.02,0.02,20,0.0,0.0,浩瀚大海,使盡全身的力量揮舞大劍來攻擊全體敵人並使敵人陷入脆弱狀態,瑞原 藍娜,31D,ロックアップオルカ,禁錮虎鯨,4.0,1.0,DebuffUp
瑞原 あいな,31D,56.0,AMizuhara,AMizuharaSkill04,デバノデバン,氷の力を宿した大剣で 全体を攻撃,1,All,8,,10,AMizuharaSkill04,AttackSkill,879.0,4395.0,132,1.0,1.0,1.8,"['Ice', 'Strike']",None,None,1,0,1,0,0,0,0.05,0.02,AttackUp,0.02,0.02,20,0.0,0.0,出刃菜刀登場,用寄宿著冰霜之力的大劍攻擊全體敵人,瑞原 藍娜,31D,奥深い味わいを,品嘗深奧滋味,10.0,1.0,AttackUp
瑞原 あいな,31D,56.0,AMizuhara,AMizuharaSkill51,海のギャング,深海に差し込む光の導きで オーバードライブゲージを50%上昇優雅に泳ぐ2頭のシャチを敵に放つ,6,Single,15,,13,AMizuharaSkill51,AttackSkill,2178.0,10890.0,144,1.0,1.0,3.25,['Strike'],None,None,1,0,1,0,0,0,0.05,0.02,AttackUp,0.02,0.02,20,0.0,0.0,大海不良分子,在照射進深海的光芒指引下，OVERDRIVE量表會提升50%向敵人放出兩隻有著優雅泳姿的虎鯨,瑞原 藍娜,31D,ロックアップオルカ,禁錮虎鯨,4.0,1.0,DebuffUp
瑞原 あいな,31D,56.0,AMizuhara,AMizuharaSkill51,海のギャング,深海に差し込む光の導きで オーバードライブゲージを50%上昇優雅に泳ぐ2頭のシャチを敵に放つ,6,Single,15,,13,AMizuharaSkill51_2,OverDrivePointUp,0.5,0.0,0,0.0,0.0,0.0,,None,None,0,0,0,0,0,0,0.0,0.0,None,0.0,0.0,0,0.0,0.0,大海不良分子,在照射進深海的光芒指引下，OVERDRIVE量表會提升50%向敵人放出兩隻有著優雅泳姿的虎鯨,瑞原 藍娜,31D,ロックアップオルカ,禁錮虎鯨,4.0,1.0,DebuffUp
瑞原 あいな,31D,56.0,AMizuhara,AMizuharaSkill91,追撃,敵に追撃する,2,Single,0,,10,AMizuharaSkill91,AttackNormal,258.0,1290.0,114,1.0,1.0,0.75,['Strike'],None,None,1,0,1,0,0,0,0.0,0.0,None,0.0,0.0,0,0.0,0.0,追擊,深入追擊敵人,瑞原 藍娜,31D,,,,,
オーブ,,,Accessory,AccessorySkillAttackDown01,ウィークンパワー,敵の攻撃力を下げる,1,Single,6,DefaultDebuff,1,AccessorySkillAttackDown01,AttackDown,0.2,0.3,200,1.0,1.0,0.0,,Default,AttackDown_Turn,0,2,0,0,1,0,0.03,0.02,DebuffUp,0.02,0.02,20,0.0,0.0,衰減之力,降低敵人的攻擊力,寶玉,,オーブ,寶玉,,,
オーブ,,,Accessory,AccessorySkillAttackUp01,アタックライズ,自身の力を引き出しスキル攻撃力を上げる,1,Self,4,NormalBuff_Up,1,AccessorySkillAttackUp01,AttackUp,0.5,0.65,450,1.0,1.0,0.0,,Default,AttackUp_Count,0,1,0,0,0,0,0.03,0.02,BuffUp,0.04,0.04,60,0.0,0.0,進攻上升,激發出自己的力量提升技能攻擊力,寶玉,,オーブ,寶玉,,,
オーブ,,,Accessory,AccessorySkillCriticalDamageUp01,コンセントレーション,自身のクリティカルダメージを少し上げる,1,Self,4,CriticalBuff_Up,1,AccessorySkillCriticalDamageUp01,CriticalDamageUp,0.1,0.2,450,1.0,1.0,0.0,,Default,CriticalDamageUp_Count,0,1,0,0,0,0,0.03,0.02,None,0.0,0.0,0,0.0,0.0,專注力,微幅提升自己的暴擊傷害值,寶玉,,オーブ,寶玉,,,
オーブ,,,Accessory,AccessorySkillCriticalRateUp01,クリティカルシンキング,自身のクリティカル率を上げる,1,Self,5,CriticalBuff_Up,1,AccessorySkillCriticalRateUp01,CriticalRateUp,0.4,0.7,450,1.0,1.0,0.0,,Default,CriticalRateUp_Count,0,1,0,0,0,0,0.03,0.02,CriticalRateUp,0.02,0.02,60,0.0,0.0,批判性思考,提升自己的暴擊率,寶玉,,オーブ,寶玉,,,
オーブ,,,Accessory,AccessorySkillDefenseDown01,ソフニング,敵の防御力を下げる,1,Single,9,DefaultDebuff,1,AccessorySkillDefenseDown01,DefenseDown,0.3,0.45,200,1.0,1.0,0.0,,Default,DefenseDown_Turn,0,2,0,0,1,0,0.03,0.02,DebuffUp,0.02,0.02,20,0.0,0.0,軟化,降低敵人的防禦力,寶玉,,オーブ,寶玉,,,
オーブ,,,Accessory,AccessorySkillDefenseUp01,プロテクション,自身の防御力を少し高める,1,Self,3,ProtectBuff,1,AccessorySkillDefenseUp01,DefenseUp,0.2,0.3,450,1.0,1.0,0.0,,Default,DefenseUp_Turn,0,1,0,0,0,0,0.05,0.02,None,0.0,0.0,0,0.0,0.0,防護罩,微幅提高自己的防禦力,寶玉,,オーブ,寶玉,,,
オーブ,,,Accessory,AccessorySkillFixedDamageRateDark01,ダークグラビトン,闇弱点の敵に対して現在HPの10%のHP割合ダメージ(最大50万),1,Single,6,DarkFixedDamage,1,AccessorySkillFixedDamageRateDark01,FixedHpDamageRate,0.1,0.0,0,0.0,0.0,0.0,,None,None,0,0,0,0,0,0,0.0,0.0,None,0.0,0.0,0,500000.0,0.0,暗黑重力子,對闇弱點的敵人造成目前HP的10%的比例傷害值（最大50萬）,寶玉,,オーブ,寶玉,,,
オーブ,,,Accessory,AccessorySkillFixedDamageRateFire01,ファイアグラビトン,火弱点の敵に対して現在HPの10%のHP割合ダメージ(最大50万),1,Single,6,FireFixedDamage,1,AccessorySkillFixedDamageRateFire01,FixedHpDamageRate,0.1,0.0,0,0.0,0.0,0.0,,None,None,0,0,0,0,0,0,0.0,0.0,None,0.0,0.0,0,500000.0,0.0,火焰重力子,對火弱點的敵人造成目前HP的10%的比例傷害值（最大50萬）,寶玉,,オーブ,寶玉,,,
オーブ,,,Accessory,AccessorySkillFixedDamageRateThunder01,サンダーグラビトン,雷弱点の敵に対して現在HPの10%のHP割合ダメージ(最大50万),1,Single,6,ThunderFixedDamage,1,AccessorySkillFixedDamageRateThunder01,FixedHpDamageRate,0.1,0.0,0,0.0,0.0,0.0,,None,None,0,0,0,0,0,0,0.0,0.0,None,0.0,0.0,0,500000.0,0.0,雷霆重力子,對雷弱點的敵人造成目前HP的10%的比例傷害值（最大50萬）,寶玉,,オーブ,寶玉,,,
オーブ,,,Accessory,AccessorySkillHealDp01,セルフエイド,自身のDPを中回復する,1,Self,4,HealDp_Buff,1,AccessorySkillHealDp01,HealDp,521.0,1563.0,450,0.0,0.0,0.0,,None,None,0,1,0,0,0,0,0.05,0.02,HealUp,0.06,0.06,60,0.0,0.0,自我療癒,中量回復自己的DP,寶玉,,オーブ,寶玉,,,
オーブ,,,Accessory,AccessorySkillHealSp01,ポイントケア,自身のSPが3上昇する,1,Self,1,HealSp,1,AccessorySkillHealSp01,HealSp,3.0,0.0,0,0.0,0.0,0.0,,None,None,0,0,0,0,0,0,0.0,0.0,None,0.0,0.0,0,0.0,0.0,重點保養,讓自己SP上升3點,寶玉,,オーブ,寶玉,,,
オーブ,,,Accessory,AccessorySkillOverDrivePointUp01,ドライブゲイン,オーバードライブゲージが上昇する,1,Self,6,OverDriveUp,1,AccessorySkillOverDrivePointUp01,OverDrivePointUp,0.15,0.0,0,0.0,0.0,0.0,,None,None,0,0,0,0,0,0,0.0,0.0,None,0.0,0.0,0,0.0,0.0,DRIVE增幅,OVERDRIVE量表上升,寶玉,,オーブ,寶玉,,,
オーブ,,,Accessory,AccessorySkillReviveDp01,リペアライト,自身のDPを復活しさらに回復する,1,Self,11,HealDp_Buff,1,AccessorySkillReviveDp01,ReviveDp,305.0,915.0,450,0.0,0.0,0.0,,None,None,0,1,0,0,0,0,0.05,0.02,HealUp,0.06,0.06,60,0.0,0.0,修復之光,復活自己的DP，並進一步回復,寶玉,,オーブ,寶玉,,,
立華 かなで,Angel Beats!,2001.0,AliceA,AliceAAttackNormal,通常攻撃,,2,Single,0,,10,AliceAAttackNormal,AttackNormal,95.0,475.0,100,1.0,1.0,1.0,['Slash'],None,None,1,0,1,0,0,0,0.0,0.0,None,0.0,0.0,0,0.0,0.0,普通攻擊,,立華 奏,Angel Beats!,,,,,
立華 かなで,Angel Beats!,2001.0,AliceA,AliceASkill01,フォーチュンスラッシュ,確率でSP回復し二刀で全体を斬りつける,2,All,7,,10,AliceASkill01,AttackSkill,591.0,2955.0,126,1.0,1.0,1.4,['Slash'],None,None,1,0,1,0,0,0,0.05,0.02,AttackUp,0.02,0.02,20,0.0,0.0,幸運斬,有一定機率能回復SP用雙刀砍向全體敵人,立華 奏,Angel Beats!,Earth Angel,Earth Angel,4.0,1.0,AttackUp
立華 かなで,Angel Beats!,2001.0,AliceA,AliceASkill01,フォーチュンスラッシュ,確率でSP回復し二刀で全体を斬りつける,2,Self,7,,10,AliceASkill01_2,HealSpRandom,0.3,0.6,126,0.0,0.0,0.0,,None,None,0,0,0,0,1,0,0.0,0.0,None,0.0,0.0,0,3.0,0.0,幸運斬,有一定機率能回復SP用雙刀砍向全體敵人,立華 奏,Angel Beats!,Earth Angel,Earth Angel,4.0,1.0,AttackUp
